lat;long
-23.440669;-46.736394
-23.464959;-46.720749
-23.46669;-46.715172
-23.466748;-46.714027
-23.547869;-46.710289
-23.552189;-46.684927
-23.555099;-46.68092
-23.557248;-46.715765
-23.558313;-46.676418
-23.559481;-46.690425
-23.559909;-46.669346
-23.562886;-46.665199
-23.563203;-46.664413
-23.56334;-46.713018
-23.563439;-46.690912
-23.563842;-46.664319
-23.563934;-46.691343
-23.564564;-46.714217
-23.573892;-46.714434
-23.586609;-46.704994
-23.595928;-46.708175
-23.60473;-46.712401
-23.608161;-46.720612
-23.609787;-46.722838
-23.613351;-46.732214
-23.613535;-46.727386
-23.682554;-46.503708
-23.615255;-46.727297
-23.615312;-46.72635
-23.684371;-46.513657
-23.70474;-46.481696
-23.707728;-46.495984
-23.71317;-46.498943
-23.713173;-46.499658
-23.720553;-46.480019
23.614693;-46.728348