"Id_images";"Elo_mean_all";"Elo_sd_all"
"320_6_52758159962_o";2366,784;88,327612393357
"105_6_52758947564_o";2246,938;94,3881310084869
"293_5_52758951494_o";2179,072;99,011656506313
"086_5_52758155217_o";2178,887;96,7494324721529
"097_5_52758947329_o";2171,717;94,708365974636
"085_5_52758946989_o";2146,224;100,274327545812
"325_6_52759188178_o";2146,212;99,9993346124009
"290_5_52759187698_o";2145,58;95,5599042239751
"094_5_52758155457_o";2091,057;100,842138453565
"295_5_52759108750_o";2088,397;98,2036218392292
"098_5_52758155582_o";2082,589;105,676684470325
"080_5_52759183048_o";2075,732;100,906125791362
"315_6_52759109100_o";2074,335;95,8378404737224
"189_8_52758157817_o";2064,634;102,566124299663
"081_5_52758698036_o";2063,929;101,639552131823
"215_1_52759107645_o";2061,617;97,5967183384279
"259_2_52759187188_o";2052,703;95,8176800951621
"112_6_52758155982_o";2048,023;104,142768290396
"314_6_52759188043_o";2037,729;100,220085934031
"299_5_52758159547_o";2032,045;97,2045559667894
"408_4_52758953264_o";2024,124;97,5562804326398
"382_4_52758952959_o";2015,279;98,8955180100822
"096_5_52758698416_o";1996,749;102,984736028476
"273_5_52758159197_o";1989,923;105,10342430578
"041_2_52759182708_o";1985,759;100,597409299434
"308_6_52759108960_o";1984,277;93,9855071090567
"044_2_52758697796_o";1983,302;100,737981600472
"377_4_52759109995_o";1982,297;101,304330402794
"274_5_52759187468_o";1972,792;102,144888831083
"119_6_52758156172_o";1968,982;107,01446524546
"026_2_52758697421_o";1965,709;101,947798763253
"006_1_52758154102_o";1959,125;103,639821437455
"209_1_52759186328_o";1954,846;98,274320786898
"254_2_52758950869_o";1950,419;100,210696148778
"113_6_52759183893_o";1943,645;97,8973179400736
"114_6_52758947809_o";1942,816;98,3325858575958
"082_5_52758155067_o";1935,212;99,6983691984017
"410_4_52758161307_o";1934,63;102,932911570033
"020_1_52758154347_o";1926,67;97,7372276344366
"084_5_52758155117_o";1921,602;98,5256458943503
"167_4_52759185318_o";1915,532;98,0942172171808
"219_1_52759107695_o";1913,738;105,74634577916
"327_6_52758160042_o";1913,006;104,710411298181
"232_1_52759186753_o";1908,373;97,282422568215
"047_2_52758154817_o";1900,909;92,4567410628774
"111_6_52758947714_o";1900,558;110,664842399668
"262_2_52759108355_o";1899,489;98,1778323541815
"280_5_52758702381_o";1899,198;106,807315285979
"019_1_52758946139_o";1899,006;103,059639302946
"296_5_52759108765_o";1894,067;108,45529522371
"216_1_52758701391_o";1887,819;103,107358449174
"227_1_52758158597_o";1884,873;102,993322577221
"124_6_52758948089_o";1879,011;99,3225142696299
"092_5_52758698286_o";1863,473;102,578836456107
"313_6_52758159817_o";1862,002;106,661824195636
"108_6_52758947654_o";1861,877;102,883657195484
"118_6_52758699061_o";1861,454;99,1231117110196
"288_5_52758951414_o";1846,411;98,6256005714951
"151_4_52758156912_o";1846,273;102,827252783077
"282_5_52759108610_o";1844,557;97,219773891094
"214_1_52758158392_o";1841,656;103,937031757553
"329_6_52758703006_o";1836,827;98,9099805644266
"203_1_52758949984_o";1831,431;96,7433331631256
"404_4_52758161212_o";1829,799;100,754056885959
"371_3_52758160767_o";1825,647;98,4993528583488
"116_6_52758156082_o";1824,484;101,71533686595
"137_3_52758156597_o";1822,824;97,6998889062433
"389_4_52758703926_o";1820,89;96,2809738521891
"103_6_52758947499_o";1819,16;99,4479074002379
"024_1_52758697366_o";1816,284;100,464463629945
"276_5_52759108540_o";1814,652;101,974534574578
"407_4_52759189453_o";1808,327;95,1247959146184
"104_6_52758698641_o";1805,95;106,215362369119
"283_5_52759108620_o";1803,821;101,201594462349
"317_6_52758702871_o";1803,544;108,705404322549
"384_4_52758952984_o";1801,976;100,43425941612
"100_5_52758155662_o";1799,505;101,418606324031
"221_1_52758950374_o";1799,443;97,9377994625342
"013_1_52758945999_o";1797,651;105,172450971932
"125_6_52758699241_o";1795,688;91,5947064313558
"305_5_52759187908_o";1792,511;105,792560914957
"036_2_52758946474_o";1791,745;109,04097353247
"157_4_52758700006_o";1789,954;98,5399513192797
"225_1_52758158572_o";1788,971;97,1874660774864
"101_6_52758947469_o";1788,476;92,3193386256871
"399_4_52758704076_o";1785,999;103,797894978665
"048_2_52759103995_o";1781,438;98,9776274050188
"050_2_52759104050_o";1777,535;95,8568897801213
"393_4_52758161057_o";1776,038;101,215597380805
"015_1_52758946069_o";1770,375;109,518083372499
"322_6_52759188133_o";1768,595;96,0256940037869
"277_5_52758159227_o";1765,95;100,160299448362
"173_4_52758949359_o";1763,638;105,442178510352
"420_8_52759189638_o";1763,492;105,049794837474
"152_4_52758948869_o";1762,999;94,4566305457381
"010_1_52759182143_o";1760,025;104,250844666188
"425_8_52759110540_o";1758,736;104,030902777649
"150_3_52758156887_o";1756,247;98,8719659795265
"210_1_52759186343_o";1751,126;100,600420320039
"302_5_52759108850_o";1750,579;106,475202407545
"321_6_52758159987_o";1749,36;109,053074110604
"381_4_52758703826_o";1746,317;98,8095027253393
"146_3_52759184773_o";1744,697;102,113585655266
"158_4_52758700026_o";1739,872;101,031168027064
"324_6_52759188148_o";1732,086;100,494276969904
"185_8_52759106865_o";1731,208;100,890900034194
"201_1_52758949939_o";1729,722;101,446557951072
"287_5_52759108670_o";1726,144;109,85572148752
"228_1_52759186683_o";1723,951;100,346499784591
"005_1_52758696951_o";1723,075;101,107705656607
"369_3_52759188838_o";1716,117;102,409936559428
"291_5_52759108705_o";1715,572;101,38583680132
"396_4_52758161117_o";1714,945;107,722951172019
"107_6_52758155857_o";1714,881;103,581127088331
"132_3_52759105515_o";1712,22;101,274508767637
"179_8_52758949524_o";1711,392;100,155216556121
"135_3_52759105560_o";1710,317;101,465845627131
"156_4_52759185083_o";1708,388;105,772838429104
"139_3_52759184563_o";1707,958;99,9028068014448
"204_1_52758949999_o";1706,352;99,1094383839237
"236_2_52759107970_o";1704,493;104,086579187554
"089_5_52758155287_o";1698,96;95,9842245963959
"301_5_52759187858_o";1697,717;102,070462379134
"149_3_52758948754_o";1694,252;98,6313572888493
"095_5_52758698391_o";1692,874;104,570057956477
"285_5_52758951389_o";1687,362;101,052236543832
"093_5_52758947204_o";1686,099;101,367058157369
"021_1_52759103440_o";1684,928;110,893652740895
"003_1_52758154042_o";1678,453;104,743185582289
"222_1_52758701496_o";1678,34;97,4254079288874
"246_2_52759186948_o";1676,16;100,810799110101
"342_3_52759188493_o";1675,753;95,7364374543802
"218_1_52759186513_o";1675,715;98,8916039121842
"398_4_52758161147_o";1674,885;101,281497405581
"243_2_52758950684_o";1673,609;107,744303580068
"428_8_52758704471_o";1668,419;106,286020516139
"004_1_52759103020_o";1667,962;100,641468894593
"166_4_52758700216_o";1666,218;113,988165077686
"170_4_52759185398_o";1661,489;101,296153874616
"247_2_52759186978_o";1656,366;92,4912248306328
"332_6_52759109315_o";1650,743;100,34295021903
"169_4_52758157312_o";1647,314;108,855008230291
"316_6_52759109120_o";1646,708;105,53344514439
"437_8_52758953669_o";1646,318;96,8783272269205
"403_4_52758704141_o";1643,28;100,082646528437
"012_1_52759182198_o";1640,429;95,0669589588606
"323_6_52758952044_o";1639,662;97,5710503472514
"363_3_52758703581_o";1636,214;99,6877316817262
"001_1_52759182023_o";1634,813;108,328801157218
"258_2_52759108285_o";1634,189;99,2129249819976
"242_2_52758950669_o";1632,861;101,886822521873
"260_2_52759187213_o";1625,262;96,7717010190382
"193_8_52758949799_o";1624,143;99,6527230747671
"335_6_52758703106_o";1623,825;100,340223916112
"205_1_52759107350_o";1619,339;105,067584326834
"091_5_52758947134_o";1619,228;101,564646375564
"014_1_52759182243_o";1617,264;116,338131602948
"409_4_52758953274_o";1615,198;96,1986849337504
"182_8_52758949599_o";1612,869;103,373613378574
"129_3_52758156457_o";1607,277;104,697037879497
"431_8_52758161557_o";1607,251;100,458837226881
"366_3_52758160682_o";1605,519;104,737240409171
"256_2_52759187128_o";1605,418;100,076343611018
"220_1_52758158492_o";1602,118;100,505121040449
"079_5_52758154997_o";1599,016;103,823962355321
"364_3_52758952689_o";1598,602;99,060145914028
"248_2_52759186993_o";1598,27;98,4879636248967
"348_3_52758703356_o";1596,917;98,1795668066342
"272_5_52759187438_o";1594,248;98,2227071312749
"385_4_52759189093_o";1593,867;103,888797245869
"033_2_52759103705_o";1593,188;104,130455716893
"153_4_52758699881_o";1592,347;109,849485663341
"350_3_52759188593_o";1589,447;90,2225542771889
"436_8_52759189843_o";1587,666;100,610660215252
"237_2_52758701736_o";1585,811;93,901505694913
"083_5_52758946914_o";1585,785;98,8956172846811
"353_3_52758703436_o";1582,121;104,325021299155
"297_5_52759187788_o";1581,715;93,5280560702096
"244_2_52758701846_o";1578,789;98,5925198174992
"344_3_52758160292_o";1578,411;96,5789810392436
"038_2_52758154667_o";1577,389;95,1795189093737
"002_1_52758154022_o";1572,127;104,321128103413
"025_1_52758154422_o";1571,512;113,726749842021
"208_1_52759186303_o";1571,039;102,550817398737
"234_1_52758158717_o";1569,568;109,162364383508
"444_8_52758161722_o";1565,783;94,9984137215438
"298_5_52758702581_o";1561,9;107,462328990917
"391_4_52759110155_o";1560,283;99,6304126767029
"037_2_52758946504_o";1556,127;109,501769430948
"392_4_52759189213_o";1553,631;91,943408841686
"007_1_52759103040_o";1552,788;98,5439189395264
"160_4_52758949109_o";1552,303;100,482107088003
"300_5_52759187833_o";1552,11;106,897862715084
"250_2_52758701971_o";1549,704;100,495919388868
"031_2_52758946379_o";1548,892;95,9303130452568
"029_2_52759182498_o";1548,765;102,713766812891
"088_5_52758947049_o";1544,879;105,787377925385
"423_8_52759189683_o";1540,479;103,821878915485
"213_1_52758158382_o";1539,212;99,092089988547
"008_1_52759103075_o";1537,662;116,163194014471
"328_6_52758160052_o";1537,077;96,7849492297093
"395_4_52759189253_o";1536,3;100,763114308785
"372_3_52759188903_o";1535,75;96,0210056890342
"202_1_52758701051_o";1535,673;102,799804819226
"253_2_52758702011_o";1534,789;95,852940827422
"239_2_52758158787_o";1534,337;97,1010816162779
"356_3_52759188668_o";1529,56;99,2340455478653
"136_3_52759184468_o";1527,59;102,414533327241
"207_1_52759186283_o";1527,377;104,85618575311
"233_1_52759186778_o";1522,34;99,1221246523479
"311_6_52759108995_o";1522,189;105,313666004215
"265_2_52758951049_o";1521,288;100,956392810209
"418_8_52758161427_o";1520,47;96,0248607073912
"191_8_52759107030_o";1519,769;102,366530397125
"343_3_52758952379_o";1515,397;91,5322541214
"148_3_52758156837_o";1514,081;98,2359748042729
"049_2_52758154867_o";1512,352;92,2671410704879
"394_4_52758953094_o";1507,461;106,836484936156
"379_4_52759188998_o";1501,147;90,4196610594516
"255_2_52759187118_o";1499,694;102,094591774832
"336_6_52758952284_o";1499,437;102,689674262801
"147_3_52759184808_o";1498,474;94,3448688497593
"017_1_52759103340_o";1493,131;100,15699307718
"174_4_52758949374_o";1492,15;104,703191251548
"422_8_52758953449_o";1489,478;98,482721136057
"223_1_52758158547_o";1485,701;101,964652646833
"102_6_52759104810_o";1482,924;99,4006977979668
"438_8_52758704626_o";1479,676;100,702830566395
"304_5_52759187903_o";1475,747;111,439282592382
"138_3_52758156617_o";1475,459;99,2057362106501
"155_4_52758948984_o";1473,477;100,882876772155
"229_1_52758158637_o";1472,646;104,177106667221
"429_8_52758704486_o";1470,348;100,641868432982
"016_1_52758946104_o";1469,789;107,50577645397
"433_8_52758953619_o";1468,568;98,5414420017882
"162_4_52758700116_o";1466,147;97,0816266511498
"027_2_52758697471_o";1464,13;99,4511721179576
"199_8_52758700981_o";1462,817;102,814407129124
"365_3_52758160672_o";1460,942;97,876956095572
"172_4_52758949334_o";1457,185;111,227372095646
"109_6_52759104990_o";1455,365;98,5374416270404
"279_5_52758951274_o";1453,016;99,8030580412965
"217_1_52759186498_o";1452,614;99,1752122595496
"417_8_52758161417_o";1452,283;104,293086822469
"090_5_52758947109_o";1445;103,158061175972
"270_2_52758951129_o";1444,683;94,95363449444
"231_1_52759186728_o";1443,717;105,210389872565
"424_8_52758953484_o";1437,107;99,6849469059378
"043_2_52758154742_o";1435,923;96,9336536204233
"106_6_52758155832_o";1429,6;100,309990001465
"087_5_52758698151_o";1427,494;98,8947224584312
"264_2_52758159077_o";1426,091;94,4732762156522
"196_8_52759107150_o";1425,549;99,2726884176391
"126_3_52759105400_o";1412,205;96,2569497510459
"078_5_52759104140_o";1409,4;107,890603772443
"376_4_52759188948_o";1407,854;104,657851831336
"131_3_52758948274_o";1405,569;105,346072703419
"040_2_52758697711_o";1402,937;98,1336295071177
"318_6_52759109135_o";1399,509;101,080706508355
"362_3_52758703541_o";1394,194;95,4186411613636
"333_6_52759109330_o";1392,744;106,429750332112
"122_6_52758156302_o";1391,831;100,680758112233
"266_2_52758159112_o";1390,147;97,3846762389554
"338_6_52758160192_o";1387,017;99,9399354697696
"441_8_52759110750_o";1383,12;97,4152212199168
"340_6_52759109440_o";1382,228;100,648647115429
"443_8_52758704701_o";1380,065;96,4543634016586
"018_1_52759182328_o";1376,807;106,593075923508
"076_5_52758946754_o";1375,633;118,67353419663
"397_4_52758953134_o";1372,458;103,871157947976
"442_8_52759110755_o";1370,242;98,3467310870855
"383_4_52758952974_o";1368,084;106,479852098427
"292_5_52758951469_o";1367,69;96,5357604882929
"011_1_52758697036_o";1366,38;107,196710466015
"206_1_52758950029_o";1364,014;104,026031449917
"249_2_52758701941_o";1360,394;103,515990669675
"187_8_52758949709_o";1352,765;96,8680504304396
"345_3_52758703311_o";1352,722;93,0614052179589
"421_8_52758953424_o";1351,894;101,708915378483
"347_3_52758952429_o";1350,816;101,812788921569
"145_3_52759184733_o";1350,502;97,1870944484263
"367_3_52759109845_o";1349,068;99,5574862532651
"176_8_52758949424_o";1348,118;98,2657429231176
"212_1_52758950149_o";1347,278;104,657498096925
"190_8_52759185948_o";1346,591;101,231643099204
"230_1_52758701661_o";1345,82;99,9809170981332
"009_1_52758945894_o";1337,463;99,4102259529875
"238_2_52758701761_o";1337,048;90,6568494950071
"275_5_52758702316_o";1336,634;98,911756528633
"023_1_52758946194_o";1335,59;103,357576832512
"289_5_52758951429_o";1334,726;99,7430378402302
"241_2_52759186863_o";1333,625;104,490509816163
"159_4_52758700066_o";1333,102;114,509790359113
"263_2_52759108365_o";1328,897;100,928543841482
"195_8_52758700891_o";1328;103,501761408271
"110_6_52759105010_o";1327,547;101,489121746288
"271_5_52758159172_o";1326,503;102,187818947961
"286_5_52758159357_o";1326,051;95,9555410847381
"115_6_52759105120_o";1324,204;102,180140757219
"330_6_52758703031_o";1323,504;102,443597528956
"178_8_52759185648_o";1320,047;98,2508219559257
"346_3_52759188563_o";1317,241;100,3768720146
"414_8_52759189533_o";1307,883;96,1358175000681
"181_8_52759106745_o";1299,091;100,771372862478
"192_8_52758157897_o";1298,621;104,6193508275
"387_4_52759189133_o";1296,252;104,165863040744
"177_8_52758700446_o";1292,945;94,1548039247181
"130_3_52758699321_o";1289,561;92,751480398515
"334_6_52758952239_o";1284,849;97,638340033229
"388_4_52759189148_o";1283,91;100,357937481873
"186_8_52758949669_o";1279,773;112,165906859712
"077_5_52759182978_o";1271,852;94,7641933873145
"432_8_52759189783_o";1265,132;106,730464104528
"294_5_52758702541_o";1254,728;98,6490529688534
"440_8_52758953709_o";1252,716;102,107469262926
"121_6_52759105275_o";1251,536;99,0082185039774
"197_8_52758158087_o";1249,703;94,9808831247592
"224_1_52758158557_o";1242,799;94,6402735645897
"303_5_52759108870_o";1239,832;94,9223262674489
"099_5_52759104705_o";1238,968;98,3382702277775
"188_8_52759185898_o";1237,117;98,1966694796565
"042_2_52759182738_o";1232,802;98,8668166952059
"355_3_52759188658_o";1228,913;98,9625333851858
"120_6_52758156237_o";1228,519;98,2235180519335
"161_4_52758700101_o";1226,499;101,414806423727
"261_2_52759108340_o";1223,649;106,197503307322
"252_2_52759187078_o";1220,352;95,9145124039615
"416_8_52759189578_o";1219,644;97,8202026989111
"445_8_52758953759_o";1219,301;101,14891745591
"128_3_52759184313_o";1215,791;99,2391542120787
"035_2_52759103745_o";1211,513;101,140433152218
"168_4_52758157287_o";1210,838;107,816678636435
"386_4_52759110100_o";1204,47;96,0059698469124
"430_8_52758704496_o";1195,056;104,230988496526
"211_1_52758158367_o";1194,413;100,429659700447
"267_2_52758702196_o";1192,236;105,817851621178
"032_2_52758697576_o";1188,08;108,365578938603
"337_6_52758160177_o";1186,169;91,8373155723289
"175_4_52759106570_o";1184,186;102,691893687034
"427_8_52759189718_o";1183,15;102,024764408219
"278_5_52759108575_o";1182,306;98,9399184933537
"028_2_52759103595_o";1179,264;96,8978715013983
"435_8_52759189823_o";1175,47;96,8861084883587
"281_5_52759108600_o";1174,209;95,4288844689646
"413_8_52758704296_o";1171,182;99,4082636347647
"357_3_52758703476_o";1169,901;102,158462941406
"034_2_52758946419_o";1165,13;99,9106462657371
"194_8_52758157992_o";1160,663;101,88654621342
"326_6_52759188193_o";1158,253;92,6526821549733
"368_3_52758703636_o";1156,102;105,340154471807
"184_8_52759106845_o";1153,965;94,369992425932
"359_3_52759109735_o";1149,814;98,6581716779651
"268_2_52759108415_o";1144,619;103,511199429856
"375_3_52758952864_o";1142,452;99,4968004978517
"251_2_52758158972_o";1141,956;104,354750624866
"351_3_52759188613_o";1141,542;98,2825503113126
"140_3_52758156657_o";1139,821;98,0067358872811
"133_3_52758948314_o";1139,465;94,8091849799193
"349_3_52759109595_o";1137,748;95,0944448926931
"434_8_52759110615_o";1135,641;97,1253800942805
"165_4_52759185283_o";1134,994;100,599235435316
"306_6_52758159707_o";1133,625;105,739317087724
"235_1_52758950564_o";1132,322;107,428828855523
"439_8_52758953694_o";1127,342;96,877563441172
"370_3_52758703681_o";1126,892;99,2794578286301
"373_3_52758160797_o";1121,508;101,876821813516
"123_6_52758948059_o";1119,851;94,5752572202597
"163_4_52758700151_o";1117,806;106,999632173598
"164_4_52758700171_o";1109,324;106,896051329269
"022_1_52758697351_o";1104,233;93,904231617727
"226_1_52758701581_o";1091,783;96,9740680846219
"030_2_52758154492_o";1088,824;98,0742044248822
"419_8_52758704366_o";1087,722;96,7281399027659
"406_4_52759189423_o";1087,394;100,9675056699
"180_8_52759106725_o";1076,53;103,634140779644
"354_3_52759188648_o";1075,868;93,4464167788621
"339_6_52759188443_o";1068,458;104,778159454624
"143_3_52758156727_o";1068,415;100,003627436711
"127_3_52759105440_o";1052,372;102,475708764989
"319_6_52758159937_o";1050,589;96,7072508727829
"341_3_52759188473_o";1046,43;98,8796859435359
"269_2_52758159147_o";1041,541;96,8680739085006
"183_8_52758949624_o";1039,78;106,349743149045
"257_2_52758950914_o";1036,084;94,7929673058643
"245_2_52759108145_o";1035,544;101,184397741679
"144_3_52759105795_o";1034,724;105,14902825106
"390_4_52759110140_o";1030,175;98,2734758266494
"312_6_52759109030_o";1022,822;102,015339265453
"284_5_52758159327_o";1019,145;97,2466703280369
"415_8_52759110440_o";1017,12;94,2743085110957
"045_2_52758946619_o";1016,349;104,432741017348
"411_4_52758161322_o";1015,574;94,9976055965047
"352_3_52758952514_o";1012,306;98,8516869862119
"039_2_52759103815_o";1011,96;98,6591406106197
"360_3_52758160577_o";1011,943;99,284980023457
"310_6_52758951829_o";1007,157;98,7409546597921
"331_6_52759188313_o";1001,206;96,502872332218
"361_3_52758703531_o";1000,325;98,3753275983368
"142_3_52758156692_o";987,602;118,224069150603
"380_4_52758160902_o";984,313;103,301676013835
"117_6_52759183968_o";981,915;100,912234412157
"374_3_52758703746_o";980,193;102,896352755627
"412_8_52759189508_o";969,371;102,327935410451
"405_4_52759110300_o";954,099;106,315597186891
"134_3_52759184418_o";951,841;99,9608918472564
"426_8_52758953524_o";951,05;97,7706223494286
"171_4_52758157352_o";927,32;103,526167065468
"046_2_52759103955_o";922,996;92,8364291998921
"240_2_52758701776_o";900,843;90,4563580059672
"402_4_52759110275_o";876,124;94,3691589565265
"401_4_52759189343_o";875,977;102,162025971251
"141_3_52759184608_o";874,796;104,499591140581
"400_4_52759110255_o";862,799;92,1077653590588
"200_8_52759186178_o";849,494;102,018418541564
"309_6_52758159737_o";847,236;97,5594287916147
"307_6_52758951799_o";832,427;97,1836783536121
"198_8_52758700956_o";812,109;102,469132142524
"154_4_52758699911_o";753,847;93,5419568358963
"358_3_52758160492_o";675,919;95,3669612407583
"378_4_52759110000_o";499,554;89,6645795217979
